doc_text,name,lat,lon,country_code3,admin1_name,admin2_name,feature_code,start_char,end_char
S/2020/360_PAR_1_SEN_1,"The present report, submitted pursuant to Security Council resolutions 2486 (2019) and 2510 (2020) , covers political, security -related and economi c developments in Libya, provides an overview of the human rights and humanitarian situation and includes an outline of the activities of the United Nations Support Mission in Libya (UNSMIL) since the issuance of my previous report on 15 January 2020 ( S/2020/41 ).",Libya,28.0,17.0,LBY,,,PCLI,167,172
S/2020/360_PAR_2_SEN_1,"Following a relative reduction in fighting in the immediate aftermath of the truce of 12 January called for by the Presidents of the R ussian Federation and Turkey and accepted by the Government of National Accord and the Libyan National Army, fighting gradually resumed.",Republic of Turkey,39.0,35.0,TUR,,,PCLI,157,163
S/2020/360_PAR_2_SEN_2,Both parties redeployed forces along the front lines in the Tripoli area.,Tripoli,34.43352,35.84415,LBN,Liban-Nord,,PPLA,60,67
S/2020/360_PAR_2_SEN_4,"At other flashp oints in western Libya, tensions also remained high.",Libya,28.0,17.0,LBY,,,PCLI,33,38
S/2020/360_PAR_2_SEN_5,"On 26 January, the Libyan National Army launched an offensive against the forces of the Government of National Accord in the Abu Qurayn area, south of Misratah, prompting heavy clashes and casualties on both sides.",Abū Qurayn,13.16667,31.2,SDN,North Kordofan,,PPL,125,135
S/2020/360_PAR_2_SEN_5,"On 26 January, the Libyan National Army launched an offensive against the forces of the Government of National Accord in the Abu Qurayn area, south of Misratah, prompting heavy clashes and casualties on both sides.",Mişrātah,32.37535,15.09254,LBY,Mişrātah,,PPLA,151,159
S/2020/360_PAR_2_SEN_6,"At the end of March, heavy artillery fire and rocket attacks were continued by both sides in parts of southern Tripoli and in the central and western regions.",Tripoli,34.43352,35.84415,LBN,Liban-Nord,,PPLA,111,118
S/2020/360_PAR_2_SEN_7,Locations along the western coastal road towards the border with Tunisia were seized by the forces of the Government of National Accord in mid -April.,Republic of Tunisia,34.0,9.0,TUN,,,PCLI,65,72
S/2020/360_PAR_2_SEN_8,"On 18 April, those forces launched a coordinated attack against the city of Tarhunah.",Tarhuna,32.43501,13.6332,LBY,Al Marqab,,PPL,76,84
S/2020/360_PAR_3_SEN_3,"From 1 January to 31 March, there were at least 131 civilian casualties in Libya, including at least 64 persons who were killed.",Libya,28.0,17.0,LBY,,,PCLI,75,80
S/2020/360_PAR_3_SEN_4,"Since April 2019, more than Page 2 200,000 persons have been forced to leave their homes in and around Tripoli owing to armed conflict.",Tripoli,34.43352,35.84415,LBN,Liban-Nord,,PPLA,103,110
S/2020/360_PAR_4_SEN_1,"To prevent the spread of coronavirus disease (COVID -19), the national authorities and the unrecognized “interim government” based in eastern Libya introduced preventive measures, including the closure of all air, land and sea borders; restrictions on movement between municipalities and regions; curfews; lockdowns; the suspension of Friday prayers and gatherings; the closure of schools and non-essential shops; and restrictions on public transportation.",Libya,28.0,17.0,LBY,,,PCLI,142,147
S/2020/360_PAR_4_SEN_2,"On 14 March , the Prime Minister, Faiez Mustafa Serraj, announced a state of emergency in Libya and allocated 575 million Libyan dinars (about $406 million) to COVID -19 preparedness and response.",Libya,28.0,17.0,LBY,,,PCLI,90,95
