doc_text,sentence_id
"The present report, submitted pursuant to Security Council resolutions 2486 (2019) and 2510 (2020) , covers political, security -related and economi c developments in Libya, provides an overview of the human rights and humanitarian situation and includes an outline of the activities of the United Nations Support Mission in Libya (UNSMIL) since the issuance of my previous report on 15 January 2020 ( S/2020/41 ).",S/2020/360_PAR_1_SEN_1
"Political, security -related and economic developments",S/2020/360_PAR_1_SEN_2
"Following a relative reduction in fighting in the immediate aftermath of the truce of 12 January called for by the Presidents of the R ussian Federation and Turkey and accepted by the Government of National Accord and the Libyan National Army, fighting gradually resumed.",S/2020/360_PAR_2_SEN_1
Both parties redeployed forces along the front lines in the Tripoli area.,S/2020/360_PAR_2_SEN_2
"As at 21 April, more than 850 reported breac hes of the ceasefire had been recorded by UNSMIL, including an unprecedented increase in indirect fire observed in urban areas, resulting in civilian casualties, damage to civilian infrastructure and disruption of commercial air operations.",S/2020/360_PAR_2_SEN_3
"At other flashp oints in western Libya, tensions also remained high.",S/2020/360_PAR_2_SEN_4
"On 26 January, the Libyan National Army launched an offensive against the forces of the Government of National Accord in the Abu Qurayn area, south of Misratah, prompting heavy clashes and casualties on both sides.",S/2020/360_PAR_2_SEN_5
"At the end of March, heavy artillery fire and rocket attacks were continued by both sides in parts of southern Tripoli and in the central and western regions.",S/2020/360_PAR_2_SEN_6
Locations along the western coastal road towards the border with Tunisia were seized by the forces of the Government of National Accord in mid -April.,S/2020/360_PAR_2_SEN_7
"On 18 April, those forces launched a coordinated attack against the city of Tarhunah.",S/2020/360_PAR_2_SEN_8
"Reports continued of foreign mercenaries providing the Government of National Accord and the Libyan N ational Army with enhanced combat capabilities, amid persistent reports of military equipment and arms being supplied to both sides in violation of the United Nations -imposed arms embargo.",S/2020/360_PAR_3_SEN_1
Those developments undermined United Nations -led dialogue initiativ es and added to more human suffering.,S/2020/360_PAR_3_SEN_2
"From 1 January to 31 March, there were at least 131 civilian casualties in Libya, including at least 64 persons who were killed.",S/2020/360_PAR_3_SEN_3
"Since April 2019, more than Page 2 200,000 persons have been forced to leave their homes in and around Tripoli owing to armed conflict.",S/2020/360_PAR_3_SEN_4
"To prevent the spread of coronavirus disease (COVID -19), the national authorities and the unrecognized “interim government” based in eastern Libya introduced preventive measures, including the closure of all air, land and sea borders; restrictions on movement between municipalities and regions; curfews; lockdowns; the suspension of Friday prayers and gatherings; the closure of schools and non-essential shops; and restrictions on public transportation.",S/2020/360_PAR_4_SEN_1
"On 14 March , the Prime Minister, Faiez Mustafa Serraj, announced a state of emergency in Libya and allocated 575 million Libyan dinars (about $406 million) to COVID -19 preparedness and response.",S/2020/360_PAR_4_SEN_2
Separate committees were established in the east and the west to address the impact of the disease.,S/2020/360_PAR_4_SEN_3
"Although prevention and preparedness measures taken with regard to the COVID -19 pandemic were introduced by authorities with the support of the United Nations, Libya remained at an extremely high risk.",S/2020/360_PAR_5_SEN_1
"The situation was comp ounded by increasing levels of fighting and insecurity, political fragmentation and a weak and overstretched health system.",S/2020/360_PAR_5_SEN_2
"The pandemic led to a loss of income for segments of society, food shortages and an increase in the price of basic commodities.",S/2020/360_PAR_5_SEN_3
"In a ddition, measures to restrict the spread of COVID -19 hampered access to humanitarian aid and the movement of medical and humanitarian personnel.",S/2020/360_PAR_5_SEN_4
The ongoing conflict and the current pandemic further weakened the already tenuous economic situation in Lib ya.,S/2020/360_PAR_6_SEN_1
The declaration of force majeure by the National Oil Corporation on 18 January as a result of a closure of oil ports in areas under the control of the Libyan National Army reduced oil production to less than a tenth of its prior output.,S/2020/360_PAR_6_SEN_2
"The Libyan Nati onal Army -supported blockage of oil exports prompted the Government of National Accord to take austerity measures to reduce spending, including payroll reductions.",S/2020/360_PAR_6_SEN_3
The austerity measures will further exhaust coping mechanisms at a time when the population is facing tremendous additional economic pressures owing to COVID -19.,S/2020/360_PAR_6_SEN_4
"On 18 and 21 March, respectively, the Government of National Accord and the Libyan National Army responded positively to international calls for an immediate humanitarian truce and a halt to the continuing transfer of all military equipment and personnel to Libya in order to allow local authorities to respond to the pandemic.",S/2020/360_PAR_7_SEN_1
"On 21 March, I welcomed the positive responses received from both sides.",S/2020/360_PAR_7_SEN_2
"On 23 March, I called for an immedia te global ceasefire in all corners of the world in order for all efforts to be focused on addressing the pandemic and saving lives.",S/2020/360_PAR_7_SEN_3
Respect for the humanitarian truce was short -lived.,S/2020/360_PAR_8_SEN_1
